iter	RMSE
0	0.4538049363
1	0.4242759296
2	0.3995575068
3	0.3766925931
4	0.3526388929
5	0.3334141092
6	0.3173987445
7	0.2976595199
8	0.2801969609
9	0.2636808174
10	0.250705851
11	0.237751011
12	0.2244957675
13	0.2145524365
14	0.2053032097
15	0.1961398911
16	0.1876629663
17	0.1795650715
18	0.1713523572
19	0.1658556579
20	0.1593349271
21	0.1543693431
22	0.148775657
23	0.1435202351
24	0.1396806536
25	0.1359379574
26	0.1322843005
27	0.1285429434
28	0.1248999987
29	0.1223099652
30	0.1185728161
31	0.1145292303
32	0.1117686751
33	0.108942738
34	0.1068146783
35	0.1040819617
36	0.1023599949
37	0.09931697658
38	0.09709575316
39	0.09570009416
40	0.09497098154
41	0.09268952337
42	0.09135128898
43	0.09020115552
44	0.08789853162
45	0.08654259659
46	0.0848124817
47	0.08321198014
48	0.08208668671
49	0.08108778994
50	0.07992669224
51	0.07925814039
52	0.07851737905
53	0.07755934738
54	0.07614588772
55	0.07520902345
56	0.07448376763
57	0.07376245993
58	0.0730008637
59	0.07244030775
60	0.07177373964
61	0.0705775806
62	0.06956452424
63	0.06846598364
64	0.06708964528
65	0.06580567412
66	0.06545783974
67	0.06492328948
68	0.06425929726
69	0.06321211587
70	0.06269930159
71	0.06227843617
72	0.06098314427
73	0.06059532987
74	0.05990248608
75	0.05959018576
76	0.0588691375
77	0.05849556223
78	0.05780663682
79	0.05711376694
80	0.05609801647
81	0.05531234554
82	0.05493558601
83	0.05449228772
84	0.05402236004
85	0.05342588891
86	0.05292296309
87	0.05259339715
88	0.05205160615
89	0.05138311585
90	0.05067222161
91	0.04991429262
92	0.04947862651
93	0.04867148169
94	0.04834639799
95	0.04776688675
96	0.04738431131
97	0.04684824359
98	0.04616388702
99	0.04570344432
